Value
"0	The cat"
"1	The mouse"
"2	cheese"
"3	The cat"
"4	The cat"
"5	The mouse"
"6	The mouse"
"7	The cat"
"8	The mouse"
"9	The cat"
"10	cheese"
"11	chases"
"12	hisses"
"13	eats"
"14	explodes"
"15	chases"
"16	hisses"
"17	eats"
"18	explodes"
"19	runs"
"20	eats"
"21	The dragon"
"22	The turtle"
"23	The dragon"
"24	The turtle"
"25	The dragon"
"26	The turtle"
"27	dances"
"28	dances"
"29	runs"
"30	says hi"
"31	loop start"
"32	loop end"
"33	choice"
"34	choice"
"35	"
"36	"
"37	"
"38	"
"39	"
"40	"
